Created At,type,User Name,NumFollowers,NumRetweets,NumFavorites,NumReplies,statusID,link
2019-03-22 15:20:05 CDT-0500,healthcare,CVSHealth,44357,2,4,2,1109112518759333888,https://twitter.com/CVSHealth/status/1109112518759333888
2019-03-22 15:06:07 CDT-0500,healthcare,CVSHealth,44357,0,0,0,1109109003462864896,https://twitter.com/CVSHealth/status/1109109003462864896
2019-03-22 14:51:07 CDT-0500,healthcare,CVSHealth,44357,0,0,0,1109105229532971009,https://twitter.com/CVSHealth/status/1109105229532971009
2019-03-22 13:02:12 CDT-0500,healthcare,CVSHealth,44357,6,14,0,1109077817474600960,https://twitter.com/CVSHealth/status/1109077817474600960
2019-03-21 18:10:06 CDT-0500,healthcare,CVSHealth,44357,3,11,0,1108792918574276609,https://twitter.com/CVSHealth/status/1108792918574276609
2019-03-21 16:20:08 CDT-0500,healthcare,CVSHealth,44357,9,10,0,1108765242186780672,https://twitter.com/CVSHealth/status/1108765242186780672
2019-03-21 14:00:59 CDT-0500,healthcare,CVSHealth,44357,3,3,2,1108730224798257152,https://twitter.com/CVSHealth/status/1108730224798257152
2019-03-21 13:01:56 CDT-0500,healthcare,CVSHealth,44357,28,125,13,1108715362646925318,https://twitter.com/CVSHealth/status/1108715362646925318
2019-03-20 17:15:12 CDT-0500,healthcare,CVSHealth,44357,8,56,0,1108416714860097536,https://twitter.com/CVSHealth/status/1108416714860097536
2019-03-20 14:20:07 CDT-0500,healthcare,CVSHealth,44357,1,3,1,1108372652257878018,https://twitter.com/CVSHealth/status/1108372652257878018
2019-03-20 13:28:03 CDT-0500,healthcare,CVSHealth,44357,0,1,2,1108359550124605440,https://twitter.com/CVSHealth/status/1108359550124605440
2019-03-20 12:50:07 CDT-0500,healthcare,CVSHealth,44357,8,13,2,1108350002336804865,https://twitter.com/CVSHealth/status/1108350002336804865
2019-03-19 18:46:13 CDT-0500,healthcare,CVSHealth,44357,7,33,2,1108077231841181696,https://twitter.com/CVSHealth/status/1108077231841181696
2019-03-19 17:01:36 CDT-0500,healthcare,CVSHealth,44357,1,2,0,1108050904450768896,https://twitter.com/CVSHealth/status/1108050904450768896
2019-03-19 15:30:25 CDT-0500,healthcare,CVSHealth,44357,0,5,0,1108027953848430592,https://twitter.com/CVSHealth/status/1108027953848430592
2019-03-19 13:07:09 CDT-0500,healthcare,CVSHealth,44357,6,6,0,1107991901695807489,https://twitter.com/CVSHealth/status/1107991901695807489
2019-03-19 13:02:01 CDT-0500,healthcare,CVSHealth,44357,1,11,0,1107990609191731201,https://twitter.com/CVSHealth/status/1107990609191731201
2019-03-18 17:35:06 CDT-0500,healthcare,CVSHealth,44357,4,14,0,1107696943717859328,https://twitter.com/CVSHealth/status/1107696943717859328
2019-03-18 15:45:09 CDT-0500,healthcare,CVSHealth,44357,2,6,0,1107669274791985152,https://twitter.com/CVSHealth/status/1107669274791985152
2019-03-18 13:52:48 CDT-0500,healthcare,CVSHealth,44357,0,0,6,1107641000351203329,https://twitter.com/CVSHealth/status/1107641000351203329
2019-03-18 13:01:48 CDT-0500,healthcare,CVSHealth,44357,1,10,0,1107628169023156225,https://twitter.com/CVSHealth/status/1107628169023156225
2019-03-15 15:30:29 CDT-0500,healthcare,CVSHealth,44357,3,5,0,1106578421960847363,https://twitter.com/CVSHealth/status/1106578421960847363
